topic,from_perc,to_prec,change_perc,year
hooldekodus hoolduse hooldekodu,0.556,0.853,53.383,2019 vs 2020
toonadalal istungid taiendaval,1.166,1.537,31.866,2019 vs 2020
salastatud valisteabe riigisaladuse,0.126,0.269,114.506,2019 vs 2020
uhistranspordi uhistransport uhistransporti,0.072,0.191,165.898,2019 vs 2020
kohtutaiturite kohtutaitur kohtutaituri,0.197,0.359,82.005,2019 vs 2020
ugri rahvaste polisrahvaste,0.036,0.123,244.103,2019 vs 2020
abielu kooselu samasooliste,0.466,0.685,46.785,2019 vs 2020
estonian air airi,0.054,0.146,171.112,2019 vs 2020
arengukavad arengukavade pohialuste,1.22,1.537,26.049,2019 vs 2020
annetused annetusi annetuste,0.072,0.168,134.616,2019 vs 2020
volakirjade keskpank volakirju,0.305,0.471,54.571,2019 vs 2020
koolituse koolitus koolitusele,0.036,0.112,212.821,2019 vs 2020
vagivallale vihakone ohutamine,0.969,1.234,27.446,2019 vs 2020
riigikontrolor karis riigikontrolori,0.054,0.135,150.257,2019 vs 2020
tulubaasi omavalitsustele omavalitsuste,0.305,0.46,50.89,2019 vs 2020
inimarengu aruanne aruandes,0.197,0.325,64.942,2019 vs 2020
valimiskomisjon proteste valimiskasti,0.09,0.18,100.206,2019 vs 2020
humni humn laulda,0.018,0.067,275.386,2019 vs 2020
talupidajate kaubanduskoja kaubanduskoda,0.072,0.146,103.334,2019 vs 2020
hoiu pangad pankade,0.09,0.168,87.693,2019 vs 2020
teenuseid teenused teenust,0.09,0.168,87.693,2019 vs 2020
tooandja tervisesse maksuvabalt,0.09,0.168,87.693,2019 vs 2020
erimargistatud kutust kutuse,0.126,0.213,69.817,2019 vs 2020
korrata stenogrammist vabandan,0.036,0.09,150.257,2019 vs 2020
jalitustegevuse jalitustoimingu sideandmete,0.054,0.112,108.548,2019 vs 2020
ootuse oigusparase oiguskindluse,0.072,0.135,87.693,2019 vs 2020
korterid kortereid korterit,0.09,0.157,75.18,2019 vs 2020
omandireformi tagastatud omandireform,0.018,0.056,212.821,2019 vs 2020
majandusaasta koondaruanne raamatupidamise,0.269,0.37,37.641,2019 vs 2020
ametiuhingute tooandjate keskliit,0.233,0.325,39.566,2019 vs 2020
lng terminali gaasi,0.036,0.079,118.975,2019 vs 2020
haiguspaevade haiguspaevi haiguspaeva,0.0,1.291,719388.993,2019 vs 2020
eripensioni valjateenitud staazi,0.054,0.101,87.693,2019 vs 2020
eelarvele kulude riigieelarvele,0.143,0.213,48.59,2019 vs 2020
pagulasi pagulased pagulaste,0.126,0.191,51.942,2019 vs 2020
korteriuhistu korteriomanike korteriuhistute,0.126,0.191,51.942,2019 vs 2020
hambaravi hammaste hambad,0.018,0.045,150.257,2019 vs 2020
teekasutustasu autode autod,0.018,0.045,150.257,2019 vs 2020
kulukuse krediidi kiirlaenude,0.018,0.045,150.257,2019 vs 2020
pollumeestele pollumehi pollumehed,0.717,0.842,17.308,2019 vs 2020
muuseum muuseumi muuseumide,0.036,0.067,87.693,2019 vs 2020
reklaami reklaam alkoholireklaam,0.108,0.157,45.983,2019 vs 2020
kaibemaksu kaibemaks kaibemaksumaara,0.108,0.157,45.983,2019 vs 2020
koneleja konsensuslikud repliigi,0.054,0.09,66.838,2019 vs 2020
veb fondi uurimiskomisjon,0.054,0.09,66.838,2019 vs 2020
noukogudesse ariuhingute noukogudes,0.215,0.281,30.342,2019 vs 2020
korterelamute kortermajade kredexi,0.646,0.752,16.439,2019 vs 2020
borsile ipo enefit,0.179,0.236,31.385,2019 vs 2020
moisteid moiste moisted,0.395,0.471,19.441,2019 vs 2020
lapsetoetust lapsetoetus lapsetoetuse,0.233,0.292,25.129,2019 vs 2020
jaatmeid liigiti prugi,0.233,0.292,25.129,2019 vs 2020
huvihariduse huvitegevuse huviharidus,0.126,0.168,34.066,2019 vs 2020
korruptsiooni korruptsioon korruptsiooniga,0.108,0.146,35.556,2019 vs 2020
vee monopolide veeteenuse,0.0,0.045,24925.704,2019 vs 2020
riigimetsa majandamise noukokku,0.0,0.045,24925.704,2019 vs 2020
arengufond arengufondi arengufondis,0.466,0.539,15.503,2019 vs 2020
tervist tervis tervisega,0.072,0.101,40.77,2019 vs 2020
kusimusena tahtsa tahtsusega,0.072,0.101,40.77,2019 vs 2020
energiaagentuur agentuuri agentuur,0.0,0.034,18669.278,2019 vs 2020
erso teatri kontserdi,0.018,0.034,87.693,2019 vs 2020
suuria euroopasse turgis,0.0,0.022,12412.852,2019 vs 2020
tootuna arvele ariuhingu,0.0,0.022,12412.852,2019 vs 2020
tulubaasi tasandusfondi tulumaksuosa,0.287,0.337,17.308,2019 vs 2020
uuring uuringut uuringu,0.323,0.37,14.701,2019 vs 2020
tootuli lepitaja ametiuhingute,0.0,0.011,6156.426,2019 vs 2020
aardla pria pealtnagija,0.0,0.011,6156.426,2019 vs 2020
est kavatsuste for,0.0,0.011,6156.426,2019 vs 2020
memorandumi moistmise memorandum,0.0,0.011,6156.426,2019 vs 2020
tsernoboli represseeritud oigusvastaselt,0.0,0.011,6156.426,2019 vs 2020
liiklussurmade liikluses hukkunute,0.09,0.112,25.129,2019 vs 2020
sularaha kommertspangad pangad,0.09,0.112,25.129,2019 vs 2020
miili baasvorgu lairiba,0.215,0.247,14.701,2019 vs 2020
ajakirjandus ajakirjanduse ajakirjandust,0.735,0.786,6.817,2019 vs 2020
deklaratsiooni deklaratsioone deklaratsioonis,0.108,0.123,14.701,2019 vs 2020
kinnitamise paevakorra paevakord,0.359,0.382,6.359,2019 vs 2020
maavalitsuste maavalitsused maakonna,0.09,0.101,12.616,2019 vs 2020
sigade katku katk,0.09,0.101,12.616,2019 vs 2020
kontroll kohaloleku registreeris,0.251,0.269,7.253,2019 vs 2020
ametipalkade riigiteenijate korgemate,0.018,0.022,25.129,2019 vs 2020
mes maale maaelu,0.269,0.281,4.274,2019 vs 2020
keskkonnaameti uhendamine uhendamise,0.484,0.494,1.957,2019 vs 2020
rahvaalgatuse rahvaalgatus rahvahaaletus,0.054,0.056,4.274,2019 vs 2020
pealinnast tallinnast viljandisse,0.287,0.292,1.667,2019 vs 2020
pensioniiga pensioniea eluiga,0.179,0.18,0.103,2019 vs 2020
kandideerima ametikohale kandidaatide,0.09,0.09,0.103,2019 vs 2020
inflatsiooni inflatsioon hinnatous,0.09,0.09,0.103,2019 vs 2020
matusetoetust matusetoetus matusetoetuse,0.0,0.0,-37.436,2019 vs 2020
tapsustatakse ajakohastatakse nouete,0.466,0.46,-1.341,2019 vs 2020
ooteala piiriuletuse piiripunkti,0.036,0.034,-6.154,2019 vs 2020
valitsemisalade katteallikaks riigieelarves,0.036,0.034,-6.154,2019 vs 2020
planeeringu keskkonnamoju keskkonnamojude,0.072,0.067,-6.154,2019 vs 2020
ulikooliga kbfi instituudi,0.233,0.224,-3.747,2019 vs 2020
kasvavad tuleval kasv,0.269,0.258,-4.068,2019 vs 2020
liitlaste ohutorje keskmaa,0.43,0.415,-3.547,2019 vs 2020
vaikesaarte saarte pusiasustusega,0.09,0.079,-12.41,2019 vs 2020
aituma infotundi jahimehed,0.161,0.146,-9.629,2019 vs 2020
krimmi agressiooni ukraina,0.969,0.92,-4.995,2019 vs 2020
teede teehoiuks teedele,0.179,0.157,-12.41,2019 vs 2020
vanemahuvitist vanemahuvitise vanemahuvitis,0.215,0.191,-11.367,2019 vs 2020
seksuaalse vangistusega vaarkohtlemise,0.018,0.011,-37.436,2019 vs 2020
muugimaksu muugimaks paadimaksu,0.018,0.011,-37.436,2019 vs 2020
koolilouna koolitoidu koolitoit,0.072,0.056,-21.795,2019 vs 2020
raamatukogu pimedate raamatukogude,0.072,0.056,-21.795,2019 vs 2020
voidusamba vabadussoja uurimiskomisjon,0.018,0.0,-99.374,2019 vs 2020
ene ergma aplaus,0.036,0.022,-37.436,2019 vs 2020
kodualuse maamaksu maamaksust,0.179,0.146,-18.666,2019 vs 2020
leping ratifitseerida lepinguga,0.502,0.438,-12.857,2019 vs 2020
kontrollin haaled kandidaadi,0.054,0.034,-37.436,2019 vs 2020
haaletamissedel haaletamiskasti sedeli,0.054,0.034,-37.436,2019 vs 2020
taanis saksamaal hollandis,0.287,0.236,-17.884,2019 vs 2020
loomi loomade loomad,0.52,0.449,-13.704,2019 vs 2020
elatisraha elatisabi elatise,0.251,0.202,-19.56,2019 vs 2020
teatri teater rahvusooper,0.126,0.0,-99.911,2019 vs 2020
magustatud suhkrut joogi,0.072,0.045,-37.436,2019 vs 2020
oppelaenu sugava puudega,0.072,0.045,-37.436,2019 vs 2020
koondaruande majandusaasta koondaruanne,0.072,0.045,-37.436,2019 vs 2020
riigiabi komisjonilt loa,0.395,0.325,-17.529,2019 vs 2020
haale valimispaeval valimiste,0.233,0.18,-22.998,2019 vs 2020
kandidaati kandidaat valituks,0.233,0.18,-22.998,2019 vs 2020
utah jordaania energia,0.143,0.101,-29.615,2019 vs 2020
nord stream streami,0.09,0.056,-37.436,2019 vs 2020
riigipalgaliste riigisektoris koondada,0.413,0.337,-18.394,2019 vs 2020
ammendumiseni kaheni pikendada,0.413,0.337,-18.394,2019 vs 2020
kaitseliit kaitseliidule kaitseliidu,0.341,0.269,-20.971,2019 vs 2020
otsevalimise presidenti presidendi,0.305,0.236,-22.715,2019 vs 2020
hoone rkas hoonet,0.377,0.292,-22.539,2019 vs 2020
kinnisasja maad maa,0.287,0.213,-25.705,2019 vs 2020
domeenide domeeni interneti,0.036,0.011,-68.718,2019 vs 2020
idapiiri piiririba valjaehitamine,0.197,0.135,-31.748,2019 vs 2020
lae korgepalgaliste lagi,0.054,0.022,-58.29,2019 vs 2020
slovakkia ungari portugal,0.484,0.382,-21.215,2019 vs 2020
haalte kandidaatidele haaletamisest,0.072,0.034,-53.077,2019 vs 2020
rahapesu terrorismi andmeburoo,0.323,0.236,-27.008,2019 vs 2020
direktiivi direktiiv ulevotmise,0.592,0.471,-20.373,2019 vs 2020
maksuamet tolliamet tolliameti,0.43,0.325,-24.402,2019 vs 2020
piirivalve valvamise valvamine,0.108,0.056,-47.863,2019 vs 2020
kaitsekulud kaitsekulutused kaitsekulude,0.305,0.213,-30.075,2019 vs 2020
valdkonnad laekumisest fikseeritakse,0.126,0.067,-46.373,2019 vs 2020
objekti anu raua,0.143,0.079,-45.256,2019 vs 2020
toovoimereformi toovoimega toovoimereform,0.161,0.09,-44.387,2019 vs 2020
kutsehariduse kutseharidus kutsehariduses,0.251,0.157,-37.436,2019 vs 2020
tantsupeo laulu traditsiooni,0.179,0.101,-43.692,2019 vs 2020
muraste kase kompleksi,0.054,0.011,-79.145,2019 vs 2020
muundatud geneetiliselt gmo,0.072,0.022,-68.718,2019 vs 2020
pensionifondide pensionifondid fondid,0.861,0.673,-21.795,2019 vs 2020
kusija vastaja vastasin,0.09,0.034,-62.461,2019 vs 2020
operatsioonil sojalisel panustamisel,0.108,0.045,-58.29,2019 vs 2020
valijate erakonda valijaid,0.52,0.37,-28.806,2019 vs 2020
president ilves presidendi,0.143,0.067,-53.077,2019 vs 2020
huvigruppe huvigruppide kaasatud,1.076,0.853,-20.752,2019 vs 2020
valismaale valjarande valjaranne,0.323,0.202,-37.436,2019 vs 2020
karistuse karistus tingimisi,0.664,0.483,-27.29,2019 vs 2020
virumaale virumaa toostusalade,0.861,0.651,-24.402,2019 vs 2020
katteallikas katteallikaid katteallikat,0.395,0.247,-37.436,2019 vs 2020
hiv narkomaania epideemia,0.09,0.022,-74.974,2019 vs 2020
kolledz kolledzi turi,0.108,0.034,-68.718,2019 vs 2020
untso missioonide liikmesusest,0.484,0.314,-35.119,2019 vs 2020
valimisea valimisiga valimisoiguse,0.179,0.079,-56.205,2019 vs 2020
jahimehed jahimeeste jahti,0.179,0.079,-56.205,2019 vs 2020
kirik kiriku maarja,0.215,0.101,-53.077,2019 vs 2020
palgalohe soolist meeste,0.341,0.191,-44.021,2019 vs 2020
aasia aasias saatkonna,0.61,0.404,-33.755,2019 vs 2020
relva relvade relvaluba,0.251,0.123,-50.842,2019 vs 2020
teadus teaduse arendustegevuse,1.22,0.909,-25.475,2019 vs 2020
lahususe voimude lahusus,0.413,0.236,-42.876,2019 vs 2020
rongi rongide rongid,0.197,0.079,-60.186,2019 vs 2020
kauguhendus avaksite ettekandjalt,0.341,0.18,-47.314,2019 vs 2020
valispoliitika valispoliitikas diplomaatia,0.807,0.55,-31.874,2019 vs 2020
missiooni missioonile missioon,0.771,0.516,-33.071,2019 vs 2020
vallaga vald sauga,0.395,0.213,-45.967,2019 vs 2020
vabatahtlike komandode paasteameti,0.395,0.213,-45.967,2019 vs 2020
oigusloome oigusloomes oiguspoliitika,0.161,0.045,-72.194,2019 vs 2020
post posti omniva,0.179,0.056,-68.718,2019 vs 2020
rahvuse rahvust rahvusriik,0.753,0.483,-35.946,2019 vs 2020
hansson ardo panga,0.126,0.011,-91.062,2019 vs 2020
vaesuses suhtelises vaesuse,0.413,0.213,-48.316,2019 vs 2020
id mobiil kaardi,0.287,0.123,-56.987,2019 vs 2020
maantee neljarealiseks ppp,0.861,0.561,-34.829,2019 vs 2020
iive sundimus iibe,0.323,0.146,-54.815,2019 vs 2020
riigikontrolli auditi auditit,0.448,0.236,-47.446,2019 vs 2020
liibanonis missioonil pikendamine,0.574,0.325,-43.301,2019 vs 2020
lipu laevu kaubalaeva,0.538,0.292,-45.778,2019 vs 2020
normitehnika mojude eeskiri,0.359,0.157,-56.205,2019 vs 2020
pensioni pension sammas,0.61,0.337,-44.796,2019 vs 2020
kaasne lisakulutusi riigieelarvele,0.43,0.202,-53.077,2019 vs 2020
opositsioonis koalitsiooni opositsiooni,2.35,1.784,-24.063,2019 vs 2020
laari laar kandidatuuri,0.287,0.101,-64.808,2019 vs 2020
palgatousu opetajate palgatous,1.435,0.965,-32.743,2019 vs 2020
teenistuse teenistuses avalikus,0.341,0.112,-67.071,2019 vs 2020
riigireformi riigireformist riigireform,0.592,0.281,-52.603,2019 vs 2020
keeleoskust oskuse keeleoskuse,0.269,0.056,-79.145,2019 vs 2020
kohtla jarve johvi,0.305,0.079,-74.238,2019 vs 2020
ts parvlaeva parvlaevad,0.323,0.079,-75.669,2019 vs 2020
piirilepingu piirileping piirilepingut,0.413,0.135,-67.358,2019 vs 2020
valimisliitude volikogusse volikokku,0.7,0.325,-53.478,2019 vs 2020
samba sammas sambasse,3.713,2.817,-24.137,2019 vs 2020
kantsler kantsleri riigisekretar,0.341,0.079,-76.95,2019 vs 2020
riigiloivude riigiloivud riigiloivu,0.502,0.18,-64.249,2019 vs 2020
vagivalla naistevastase perevagivalla,0.323,0.056,-82.621,2019 vs 2020
prokuratuur prokuratuuri prokuror,1.345,0.763,-43.275,2019 vs 2020
kandidaadi kandidaati kandidaat,0.466,0.123,-73.531,2019 vs 2020
uliopilased uliopilastele uliopilaste,1.238,0.617,-50.13,2019 vs 2020
opositsiooni koalitsioonil opositsioonil,0.861,0.281,-67.414,2019 vs 2020
treenerite spordi sport,0.717,0.18,-74.974,2019 vs 2020
volitust kaasuses jarvik,0.7,0.157,-77.541,2019 vs 2020
lipud lippude lipp,0.735,0.067,-90.844,2019 vs 2020
skais arendused infosusteemide,0.789,0.079,-90.047,2019 vs 2020
kohtunike kohtususteem kohtuniku,1.022,0.269,-73.657,2019 vs 2020
tulumaksuvaba maksususteemi tulumaksu,1.668,0.64,-61.654,2019 vs 2020
oigusriik oigusriigi oigusriigist,1.22,0.292,-76.078,2019 vs 2020
koolis kooli opilased,5.112,2.963,-42.046,2019 vs 2020
pensionitous pensionitousu pension,2.278,0.707,-68.964,2019 vs 2020
kodakondsust kodakondsuse kodanikuks,2.601,0.685,-73.68,2019 vs 2020
alkoholi kange lahja,3.534,0.797,-77.451,2019 vs 2020
jarviku jarvik maaeluministri,4.448,1.257,-71.745,2019 vs 2020
elektri elektrit taastuvenergia,1.302,4.176,220.791,2020 vs 2021
kauguhendus avaksite ettekandjalt,0.18,1.865,938.742,2020 vs 2021
huvihariduse huvitegevuse huviharidus,0.168,1.666,889.527,2020 vs 2021
viirust vaktsineeritud viiruse,4.87,7.484,53.66,2020 vs 2021
opositsiooni koalitsioonil opositsioonil,0.281,1.384,393.37,2020 vs 2021
objekti anu raua,0.079,1.032,1214.06,2020 vs 2021
valimisliitude volikogusse volikokku,0.325,1.232,278.462,2020 vs 2021
otsevalimise presidenti presidendi,0.236,1.079,357.93,2020 vs 2021
valdkonnad laekumisest fikseeritakse,0.067,0.704,945.275,2020 vs 2021
piirilepingu piirileping piirilepingut,0.135,0.727,440.059,2020 vs 2021
korruptsiooni korruptsioon korruptsiooniga,0.146,0.739,406.556,2020 vs 2021
kaitseliit kaitseliidule kaitseliidu,0.269,0.809,200.516,2020 vs 2021
liitlaste ohutorje keskmaa,0.415,0.962,131.655,2020 vs 2021
kohtunike kohtususteem kohtuniku,0.269,0.716,165.674,2020 vs 2021
id mobiil kaardi,0.123,0.469,280.1,2020 vs 2021
salastatud valisteabe riigisaladuse,0.269,0.692,156.963,2020 vs 2021
terviseandmed isikuandmeid terviseandmeid,1.762,2.581,46.472,2020 vs 2021
piirivalve valvamise valvamine,0.056,0.317,464.448,2020 vs 2021
uliopilased uliopilastele uliopilaste,0.617,1.056,71.045,2020 vs 2021
kaitsekulud kaitsekulutused kaitsekulude,0.213,0.504,136.562,2020 vs 2021
muuseum muuseumi muuseumide,0.067,0.27,300.689,2020 vs 2021
missiooni missioonile missioon,0.516,0.891,72.698,2020 vs 2021
loomi loomade loomad,0.449,0.798,77.697,2020 vs 2021
miili baasvorgu lairiba,0.247,0.516,109.055,2020 vs 2021
haalte kandidaatidele haaletamisest,0.034,0.188,457.48,2020 vs 2021
prokuratuur prokuratuuri prokuror,0.763,1.161,52.18,2020 vs 2021
rahvuse rahvust rahvusriik,0.483,0.809,67.73,2020 vs 2021
inflatsiooni inflatsioon hinnatous,0.09,0.27,200.516,2020 vs 2021
lng terminali gaasi,0.079,0.246,213.582,2020 vs 2021
haaletamissedel haaletamiskasti sedeli,0.034,0.176,422.637,2020 vs 2021
direktiivi direktiiv ulevotmise,0.471,0.762,61.769,2020 vs 2021
deklaratsiooni deklaratsioone deklaratsioonis,0.123,0.293,137.562,2020 vs 2021
hiv narkomaania epideemia,0.022,0.129,474.901,2020 vs 2021
taanis saksamaal hollandis,0.236,0.434,84.167,2020 vs 2021
slovakkia ungari portugal,0.382,0.622,62.94,2020 vs 2021
psuhhiaatri alaealine psuhhiaatrilist,0.954,1.302,36.501,2020 vs 2021
vabatahtlike komandode paasteameti,0.213,0.399,87.049,2020 vs 2021
muugimaksu muugimaks paadimaksu,0.011,0.106,840.747,2020 vs 2021
oigusriik oigusriigi oigusriigist,0.292,0.493,68.852,2020 vs 2021
vagivallale vihakone ohutamine,1.234,1.607,30.184,2020 vs 2021
kantsler kantsleri riigisekretar,0.079,0.199,153.852,2020 vs 2021
nord stream streami,0.056,0.164,192.677,2020 vs 2021
kusija vastaja vastasin,0.034,0.129,283.267,2020 vs 2021
riigimetsa majandamise noukokku,0.045,0.141,213.582,2020 vs 2021
treenerite spordi sport,0.18,0.328,82.923,2020 vs 2021
toonadalal istungid taiendaval,1.537,1.9,23.602,2020 vs 2021
kutsehariduse kutseharidus kutsehariduses,0.157,0.293,86.656,2020 vs 2021
idapiiri piiririba valjaehitamine,0.135,0.258,91.634,2020 vs 2021
teekasutustasu autode autod,0.045,0.129,187.451,2020 vs 2021
arengukavad arengukavade pohialuste,1.537,1.877,22.076,2020 vs 2021
virumaale virumaa toostusalade,0.651,0.868,33.363,2020 vs 2021
palgalohe soolist meeste,0.191,0.317,66.014,2020 vs 2021
raamatukogu pimedate raamatukogude,0.056,0.129,129.96,2020 vs 2021
tootuli lepitaja ametiuhingute,0.011,0.059,422.637,2020 vs 2021
president ilves presidendi,0.067,0.141,109.055,2020 vs 2021
teenistuse teenistuses avalikus,0.112,0.199,77.697,2020 vs 2021
teadus teaduse arendustegevuse,0.909,1.126,23.884,2020 vs 2021
opositsioonis koalitsiooni opositsiooni,1.784,2.065,15.703,2020 vs 2021
uhistranspordi uhistransport uhistransporti,0.191,0.293,53.717,2020 vs 2021
karistuse karistus tingimisi,0.483,0.633,31.267,2020 vs 2021
iive sundimus iibe,0.146,0.235,60.812,2020 vs 2021
kinnisasja maad maa,0.213,0.317,48.539,2020 vs 2021
memorandumi moistmise memorandum,0.011,0.047,318.11,2020 vs 2021
hoone rkas hoonet,0.292,0.399,36.69,2020 vs 2021
aasia aasias saatkonna,0.404,0.528,30.659,2020 vs 2021
kandideerima ametikohale kandidaatide,0.09,0.152,69.857,2020 vs 2021
normitehnika mojude eeskiri,0.157,0.235,49.325,2020 vs 2021
muundatud geneetiliselt gmo,0.022,0.059,161.319,2020 vs 2021
tervist tervis tervisega,0.101,0.164,62.598,2020 vs 2021
utah jordaania energia,0.101,0.164,62.598,2020 vs 2021
hoiu pangad pankade,0.168,0.246,46.338,2020 vs 2021
pagulasi pagulased pagulaste,0.191,0.27,41.42,2020 vs 2021
ammendumiseni kaheni pikendada,0.337,0.434,28.917,2020 vs 2021
teede teehoiuks teedele,0.157,0.223,41.859,2020 vs 2021
muraste kase kompleksi,0.011,0.035,213.582,2020 vs 2021
operatsioonil sojalisel panustamisel,0.045,0.082,82.923,2020 vs 2021
jalitustegevuse jalitustoimingu sideandmete,0.112,0.164,46.338,2020 vs 2021
humni humn laulda,0.067,0.106,56.791,2020 vs 2021
suuria euroopasse turgis,0.022,0.047,109.055,2020 vs 2021
kaibemaksu kaibemaks kaibemaksumaara,0.157,0.211,34.392,2020 vs 2021
kohtla jarve johvi,0.079,0.117,49.325,2020 vs 2021
valimisea valimisiga valimisoiguse,0.079,0.117,49.325,2020 vs 2021
haale valimispaeval valimiste,0.18,0.235,30.659,2020 vs 2021
valimiskomisjon proteste valimiskasti,0.18,0.235,30.659,2020 vs 2021
salvestisi salvestised salvestiste,0.819,0.927,13.119,2020 vs 2021
kusimusena tahtsa tahtsusega,0.101,0.141,39.37,2020 vs 2021
lahususe voimude lahusus,0.236,0.293,24.437,2020 vs 2021
borsile ipo enefit,0.236,0.293,24.437,2020 vs 2021
varude varud varu,0.247,0.305,23.532,2020 vs 2021
valispoliitika valispoliitikas diplomaatia,0.55,0.633,15.194,2020 vs 2021
lipu laevu kaubalaeva,0.292,0.352,20.609,2020 vs 2021
piirikontrolli schengeni valispiiri,0.18,0.223,24.126,2020 vs 2021
seksuaalse vangistusega vaarkohtlemise,0.011,0.023,109.055,2020 vs 2021
domeenide domeeni interneti,0.011,0.023,109.055,2020 vs 2021
teatri teater rahvusooper,0.0,0.047,41710.99,2020 vs 2021
ts parvlaeva parvlaevad,0.079,0.106,34.392,2020 vs 2021
skais arendused infosusteemide,0.079,0.106,34.392,2020 vs 2021
ametiuhingute tooandjate keskliit,0.325,0.375,15.341,2020 vs 2021
voidusamba vabadussoja uurimiskomisjon,0.0,0.023,20805.495,2020 vs 2021
krimmi agressiooni ukraina,0.92,0.997,8.352,2020 vs 2021
kodakondsust kodakondsuse kodanikuks,0.685,0.751,9.668,2020 vs 2021
matusetoetust matusetoetus matusetoetuse,0.0,0.012,10352.748,2020 vs 2021
energiaagentuur agentuuri agentuur,0.034,0.047,39.37,2020 vs 2021
kontrollin haaled kandidaadi,0.034,0.047,39.37,2020 vs 2021
jahimehed jahimeeste jahti,0.079,0.094,19.46,2020 vs 2021
vaikesaarte saarte pusiasustusega,0.079,0.094,19.46,2020 vs 2021
sigade katku katk,0.101,0.117,16.142,2020 vs 2021
ugri rahvaste polisrahvaste,0.123,0.141,14.03,2020 vs 2021
koolis kooli opilased,2.963,3.038,2.548,2020 vs 2021
valijate erakonda valijaid,0.37,0.387,4.527,2020 vs 2021
kodualuse maamaksu maamaksust,0.146,0.152,4.527,2020 vs 2021
riigikontrolor karis riigikontrolori,0.135,0.141,4.527,2020 vs 2021
maavalitsuste maavalitsused maakonna,0.101,0.106,4.527,2020 vs 2021
tapsustatakse ajakohastatakse nouete,0.46,0.469,1.978,2020 vs 2021
rongi rongide rongid,0.079,0.082,4.527,2020 vs 2021
omandireformi tagastatud omandireform,0.056,0.059,4.527,2020 vs 2021
vee monopolide veeteenuse,0.045,0.047,4.527,2020 vs 2021
oigusloome oigusloomes oiguspoliitika,0.045,0.047,4.527,2020 vs 2021
erso teatri kontserdi,0.034,0.035,4.527,2020 vs 2021
tootuna arvele ariuhingu,0.022,0.023,4.527,2020 vs 2021
hansson ardo panga,0.011,0.012,4.527,2020 vs 2021
est kavatsuste for,0.011,0.012,4.527,2020 vs 2021
tsernoboli represseeritud oigusvastaselt,0.011,0.012,4.527,2020 vs 2021
lapsetoetust lapsetoetus lapsetoetuse,0.292,0.293,0.507,2020 vs 2021
katteallikas katteallikaid katteallikat,0.247,0.246,-0.224,2020 vs 2021
vaesuses suhtelises vaesuse,0.213,0.211,-0.974,2020 vs 2021
vallaga vald sauga,0.213,0.211,-0.974,2020 vs 2021
korterid kortereid korterit,0.157,0.152,-2.939,2020 vs 2021
inimarengu aruanne aruandes,0.325,0.317,-2.681,2020 vs 2021
liiklussurmade liikluses hukkunute,0.112,0.106,-5.925,2020 vs 2021
korrata stenogrammist vabandan,0.09,0.082,-8.538,2020 vs 2021
toovoimereformi toovoimega toovoimereform,0.09,0.082,-8.538,2020 vs 2021
tarbijakaitse amet ametile,0.382,0.364,-4.696,2020 vs 2021
lipud lippude lipp,0.067,0.059,-12.894,2020 vs 2021
pensioniiga pensioniea eluiga,0.18,0.164,-8.538,2020 vs 2021
keeleoskust oskuse keeleoskuse,0.056,0.047,-16.378,2020 vs 2021
koolilouna koolitoidu koolitoit,0.056,0.047,-16.378,2020 vs 2021
aituma infotundi jahimehed,0.146,0.129,-11.554,2020 vs 2021
oppelaenu sugava puudega,0.045,0.035,-21.604,2020 vs 2021
kinnitamise paevakorra paevakord,0.382,0.352,-7.77,2020 vs 2021
eelarvele kulude riigieelarvele,0.213,0.188,-11.977,2020 vs 2021
kolledz kolledzi turi,0.034,0.023,-30.315,2020 vs 2021
huvigruppe huvigruppide kaasatud,0.853,0.798,-6.475,2020 vs 2021
tantsupeo laulu traditsiooni,0.101,0.082,-18.701,2020 vs 2021
vanemahuvitist vanemahuvitise vanemahuvitis,0.191,0.164,-13.919,2020 vs 2021
veb fondi uurimiskomisjon,0.09,0.07,-21.604,2020 vs 2021
aardla pria pealtnagija,0.011,0.0,-98.955,2020 vs 2021
annetused annetusi annetuste,0.168,0.141,-16.378,2020 vs 2021
palgatousu opetajate palgatous,0.965,0.891,-7.627,2020 vs 2021
ene ergma aplaus,0.022,0.0,-99.477,2020 vs 2021
lae korgepalgaliste lagi,0.022,0.012,-47.736,2020 vs 2021
ametipalkade riigiteenijate korgemate,0.022,0.012,-47.736,2020 vs 2021
arengufond arengufondi arengufondis,0.539,0.481,-10.716,2020 vs 2021
planeeringu keskkonnamoju keskkonnamojude,0.067,0.047,-30.315,2020 vs 2021
ooteala piiriuletuse piiripunkti,0.034,0.0,-99.652,2020 vs 2021
valitsemisalade katteallikaks riigieelarves,0.034,0.0,-99.652,2020 vs 2021
kulukuse krediidi kiirlaenude,0.045,0.0,-99.739,2020 vs 2021
moisteid moiste moisted,0.471,0.411,-12.894,2020 vs 2021
rahvaalgatuse rahvaalgatus rahvahaaletus,0.056,0.0,-99.791,2020 vs 2021
eripensioni valjateenitud staazi,0.101,0.07,-30.315,2020 vs 2021
reklaami reklaam alkoholireklaam,0.157,0.117,-25.338,2020 vs 2021
uuring uuringut uuringu,0.37,0.305,-17.645,2020 vs 2021
magustatud suhkrut joogi,0.045,0.023,-47.736,2020 vs 2021
hambaravi hammaste hambad,0.045,0.023,-47.736,2020 vs 2021
koondaruande majandusaasta koondaruanne,0.045,0.023,-47.736,2020 vs 2021
